단어,가중치,긍정문장수,부정문장수,한쪽에만
좋아요,1.185,6,0,예
선명해요,1.018,4,0,예
만족해요,0.933,4,0,예
편해요,0.754,3,0,예
저렴해서,0.492,2,0,예
간단해서,0.478,2,0,예
빨라서,0.429,2,0,예
친절해요,0.409,1,0,예
정말,0.382,1,0,예
빨라요,0.382,1,0,예
친구에게,0.351,1,0,예
추천했어요,0.351,1,0,예
추천해요,0.312,1,0,예
오래가서,0.291,1,0,예
가벼워서,0.276,1,0,예
잘,0.27,1,0,예
산,0.27,1,0,예
같아요,0.27,1,0,예
것,0.27,1,0,예
아주,0.247,1,0,예
밝고,0.247,1,0,예
딱,0.242,1,0,예
크고,0.239,1,0,예
적어서,0.218,1,0,예
꼼꼼해서,0.216,1,0,예
튼튼해서,0.187,1,0,예
예뻐서,0.187,1,0,예
재질이,0.187,1,0,예
디자인이,0.187,1,0,예
가격이,0.181,1,0,예
성능이,0.168,1,0,예
가격,0.168,1,0,예
대비,0.168,1,0,예
값이,0.075,1,1,아니오
맞아서,0.028,1,1,아니오
크기가,0.028,1,1,아니오
응대가,0.02,1,1,아니오
고객센터,0.02,1,1,아니오
무게가,0.017,1,1,아니오
설치가,0.014,1,1,아니오
사용법이,0.014,1,1,아니오
기대보다,-0.007,1,1,아니오
화질이,-0.007,1,1,아니오
소리가,-0.007,1,1,아니오
속도가,-0.009,1,1,아니오
포장이,-0.021,1,1,아니오
소음이,-0.038,1,1,아니오
화면이,-0.059,2,2,아니오
구매인데,-0.187,0,1,예
사진과,-0.187,0,1,예
색상이,-0.187,0,1,예
번째,-0.187,0,1,예
달라서,-0.187,0,1,예
두,-0.187,0,1,예
배송이,-0.196,2,3,아니오
추천,-0.236,0,1,예
비싸서,-0.236,0,1,예
해요,-0.236,0,1,예
엉망이라,-0.237,0,1,예
어둡고,-0.238,0,1,예
작고,-0.246,0,1,예
배터리가,-0.247,1,2,아니오
반나절도,-0.251,0,1,예
못,-0.251,0,1,예
가요,-0.251,0,1,예
심해서,-0.256,0,1,예
무거워서,-0.26,0,1,예
거칠어서,-0.282,0,1,예
마감이,-0.282,0,1,예
조금,-0.282,0,1,예
최악이에요,-0.282,0,1,예
부서졌어요,-0.282,0,1,예
쓰다가,-0.282,0,1,예
닳아요,-0.286,0,1,예
금방,-0.286,0,1,예
일주일이나,-0.295,0,1,예
느려요,-0.295,0,1,예
걸렸어요,-0.295,0,1,예
너무,-0.295,0,1,예
자꾸,-0.315,0,1,예
꺼져요,-0.315,0,1,예
불친절해요,-0.389,0,1,예
느려서,-0.428,0,2,예
안,-0.449,0,2,예
복잡해서,-0.45,0,2,예
별로예요,-0.684,0,3,예
불편해요,-0.71,0,3,예
흐릿해요,-0.775,0,3,예
실망했어요,-0.823,0,4,예
