앞단어,다음단어,횟수,확률
강의실에서,영어를,4,1.000
도서관에서,통계학을,6,0.545
도서관에서,미적분을,5,0.455
동아리방에서,발표자료를,5,1.000
목요일에,동아리방에서,5,0.833
목요일에,도서관에서,1,0.167
미적분을,공부한다,3,0.600
미적분을,복습한다,2,0.400
민준이는,월요일에,5,0.625
민준이는,화요일에,2,0.250
민준이는,수요일에,1,0.125
발표자료를,정리한다,5,1.000
서연이는,월요일에,3,0.429
서연이는,화요일에,2,0.286
서연이는,목요일에,2,0.286
수요일에,강의실에서,4,0.800
수요일에,실습실에서,1,0.200
실습실에서,파이썬을,6,0.857
실습실에서,영어를,1,0.143
영어를,복습한다,4,0.800
영어를,연습한다,1,0.200
월요일에,도서관에서,8,0.800
월요일에,실습실에서,2,0.200
지호는,수요일에,3,0.500
지호는,월요일에,2,0.333
지호는,목요일에,1,0.167
통계학을,공부한다,5,0.833
통계학을,정리한다,1,0.167
파이썬을,연습한다,4,0.667
파이썬을,공부한다,2,0.333
하윤이는,목요일에,3,0.500
하윤이는,화요일에,2,0.333
하윤이는,수요일에,1,0.167
화요일에,실습실에서,4,0.667
화요일에,도서관에서,2,0.333
