date,item,count
2026-05-01,item_0,29
2026-05-02,item_1,19
2026-05-03,item_2,40
2026-05-04,item_3,3
2026-05-05,item_4,18
2026-05-06,item_0,22
2026-05-07,item_1,33
2026-05-08,item_2,29
2026-05-09,item_3,14
2026-05-10,item_4,19
2026-05-11,item_0,34
2026-05-12,item_1,17
2026-05-13,item_2,2
2026-05-14,item_3,1
2026-05-15,item_4,2
2026-05-16,item_0,9
2026-05-17,item_1,36
2026-05-18,item_2,18
2026-05-19,item_3,27
2026-05-20,item_4,9
2026-05-21,item_0,16
2026-05-22,item_1,13
2026-05-23,item_2,28
2026-05-24,item_3,31
2026-05-25,item_4,4
