student_id,study_hours,sleep_hours,score
S001,7,6,82
S002,8,9,62
S003,2,7,40
S004,5,7,57
S005,10,7,84
S006,9,5,75
S007,0,9,79
S008,2,7,63
S009,2,6,97
S010,3,4,76
S011,3,4,72
S012,10,6,83
S013,6,4,41
S014,0,9,72
S015,3,4,67
S016,7,4,82
S017,6,5,74
S018,5,8,75
S019,2,9,96
S020,0,8,50
S021,8,4,65
S022,9,7,82
S023,9,7,70
S024,9,7,74
S025,0,9,86
S026,1,5,90
S027,10,6,62
S028,5,9,64
S029,10,6,47
S030,4,5,61
S031,5,6,72
S032,9,8,51
S033,0,7,92
S034,6,4,73
S035,0,5,83
S036,6,4,64
S037,3,8,46
S038,8,5,51
S039,1,9,57
S040,0,7,57
S041,7,6,78
S042,10,9,43
S043,8,7,63
S044,3,6,58
S045,7,7,84
S046,7,5,50
S047,7,8,63
S048,2,5,89
S049,3,8,40
S050,4,6,51
S051,3,4,72
S052,0,5,79
S053,1,6,74
S054,8,5,41
S055,5,9,93
S056,4,9,47
S057,3,8,72
S058,7,7,80
S059,5,6,83
S060,7,9,50
