[run1] 합성 예제 로그. 실제 학습 기록이 아니다.
epoch 001  loss=1.1525  train_acc=0.5605  val_acc=0.5305
epoch 002  loss=1.1098  train_acc=0.5752  val_acc=0.5452
epoch 003  loss=1.0675  train_acc=0.5724  val_acc=0.5424
epoch 004  loss=1.0255  train_acc=0.5900  val_acc=0.5600
epoch 005  loss=0.9868  train_acc=0.5916  val_acc=0.5616
epoch 006  loss=0.9461  train_acc=0.5954  val_acc=0.5654
epoch 007  loss=0.9101  train_acc=0.6073  val_acc=0.5773
epoch 008  loss=0.8698  train_acc=0.6182  val_acc=0.5882
epoch 009  loss=0.8382  train_acc=0.6280  val_acc=0.5980
epoch 010  loss=0.8079  train_acc=0.6382  val_acc=0.6082
epoch 011  loss=0.7759  train_acc=0.6438  val_acc=0.6138
epoch 012  loss=0.7439  train_acc=0.6380  val_acc=0.6080
epoch 013  loss=0.7130  train_acc=0.6502  val_acc=0.6202
epoch 014  loss=0.6880  train_acc=0.6658  val_acc=0.6358
epoch 015  loss=0.6608  train_acc=0.6724  val_acc=0.6424
epoch 016  loss=0.6314  train_acc=0.6787  val_acc=0.6487
epoch 017  loss=0.6077  train_acc=0.6839  val_acc=0.6539
epoch 018  loss=0.5814  train_acc=0.6921  val_acc=0.6621
epoch 019  loss=0.5567  train_acc=0.7057  val_acc=0.6757
epoch 020  loss=0.5316  train_acc=0.7018  val_acc=0.6718
epoch 021  loss=0.5088  train_acc=0.7219  val_acc=0.6919
epoch 022  loss=0.4905  train_acc=0.7292  val_acc=0.6992
epoch 023  loss=0.4744  train_acc=0.7313  val_acc=0.7013
epoch 024  loss=0.4517  train_acc=0.7418  val_acc=0.7118
epoch 025  loss=0.4332  train_acc=0.7436  val_acc=0.7136
epoch 026  loss=0.4172  train_acc=0.7548  val_acc=0.7248
epoch 027  loss=0.3984  train_acc=0.7625  val_acc=0.7325
epoch 028  loss=0.3860  train_acc=0.7642  val_acc=0.7342
epoch 029  loss=0.3694  train_acc=0.7776  val_acc=0.7476
epoch 030  loss=0.3522  train_acc=0.7886  val_acc=0.7586
epoch 031  loss=0.3359  train_acc=0.8064  val_acc=0.7764
epoch 032  loss=0.3225  train_acc=0.8100  val_acc=0.7800
epoch 033  loss=0.3069  train_acc=0.8133  val_acc=0.7833
epoch 034  loss=0.2955  train_acc=0.8289  val_acc=0.7989
epoch 035  loss=0.2817  train_acc=0.8292  val_acc=0.7992
epoch 036  loss=0.2733  train_acc=0.8446  val_acc=0.8146
epoch 037  loss=0.2602  train_acc=0.8468  val_acc=0.8168
epoch 038  loss=0.2519  train_acc=0.8519  val_acc=0.8219
epoch 039  loss=0.2432  train_acc=0.8653  val_acc=0.8353
epoch 040  loss=0.2373  train_acc=0.8711  val_acc=0.8411
done.
