응답번호,별명,공부시간,수면시간,시험점수
1,student01,4.0,5.0,69
2,student02,2.4,6.6,67
3,student03,5.1,7.2,84
4,student04,5.4,7.7,94
5,student05,1.1,7.9,65
6,student06,4.0,8.0,68
7,student07,4.2,6.6,85
8,student08,4.0,6.4,65
9,student09,4.0,8.0,74
10,student10,2.7,6.8,62
11,student11,5.3,5.5,78
12,student12,5.2,5.6,
13,student13,4.1,5.9,78
14,student14,5.7,7.6,
15,student15,4.0,7.2,72
16,student16,2.7,7.8,64
17,student17,4.0,6.5,80
18,student18,2.6,7.2,73
19,student19,5.3,7.8,97
20,student20,3.9,6.6,92
21,student21,3.7,7.5,78
22,student22,3.0,6.2,62
23,student23,5.8,6.6,73
24,student24,3.8,6.5,75
25,student25,3.4,5.6,65
26,student26,3.5,7.6,72
27,student27,4.0,6.4,76
28,student28,4.0,7.0,78
29,student29,4.6,6.6,87
30,student30,4.6,7.5,82
31,student31,4.0,7.8,96
32,student32,3.4,6.9,66
33,student33,3.2,6.5,60
34,student34,2.8,6.9,66
35,student35,4.9,5.0,77
36,student36,5.7,5.3,93
37,student37,3.8,5.4,72
38,student38,2.7,5.8,72
39,student39,2.8,6.6,67
40,student40,4.0,5.9,73
41,student41,5.1,6.5,76
42,student42,4.8,8.6,80
43,student43,3.0,6.6,82
44,student44,4.3,7.9,75
45,student45,4.2,5.9,80
46,student46,4.3,6.8,72
47,student47,5.3,5.9,87
48,student48,4.3,6.6,79
49,student49,5.0,8.0,83
50,student50,4.1,4.9,72
51,student51,4.0,7.5,75
52,student52,4.9,6.6,85
53,student53,1.8,6.3,59
54,student54,3.5,5.3,62
55,student55,3.3,7.1,64
56,student56,3.0,6.4,
57,student57,3.6,7.3,84
58,student58,6.2,7.0,90
59,student59,2.7,8.9,71
60,student60,5.5,6.7,86
