걸음,w,손실,기울기,이동거리,다음w
0,-2.0,27.0,-10.0,1.0,-1.0
1,-1.0,18.0,-8.0,0.8,-0.2
2,-0.2,12.24,-6.4,0.64,0.44
3,0.44,8.5536,-5.12,0.512,0.952
4,0.952,6.1943,-4.096,0.4096,1.3616
5,1.3616,4.6844,-3.2768,0.3277,1.6893
6,1.6893,3.718,-2.6214,0.2621,1.9514
7,1.9514,3.0995,-2.0972,0.2097,2.1611
8,2.1611,2.7037,-1.6777,0.1678,2.3289
9,2.3289,2.4504,-1.3422,0.1342,2.4631
10,2.4631,2.2882,-1.0737,0.1074,2.5705
11,2.5705,2.1845,-0.859,0.0859,2.6564
12,2.6564,2.1181,-0.6872,0.0687,2.7251
13,2.7251,2.0756,-0.5498,0.055,2.7801
14,2.7801,2.0484,-0.4398,0.044,2.8241
15,2.8241,2.0309,-0.3518,0.0352,2.8593
